point,latt,long
1,42.4481820,-76.4450440
2,42.4486900,-76.4450750
3,42.4486440,-76.4461420
4,42.4486750,-76.4465700
5,42.4484250,-76.4465740
6,42.4481560,-76.4465220
7,42.4481820,-76.4461210
8,42.4484500,-76.4461300
9,42.4484480,-76.4450690
