"plot_number","prow","pcol","grow","gcol","subplot"
834,6,"1",1,1,3
834,6,"1",1,2,2
834,6,"1",1,3,1
827,6,"2",1,1,3
827,6,"2",1,2,2
827,6,"2",1,3,1
810,6,"3",1,1,3
810,6,"3",1,2,2
810,6,"3",1,3,1
803,6,"4",1,1,3
803,6,"4",1,2,2
803,6,"4",1,3,1
728,6,"5",1,1,3
728,6,"5",1,2,2
728,6,"5",1,3,1
721,6,"6",1,1,3
721,6,"6",1,2,2
721,6,"6",1,3,1
704,6,"7",1,1,3
704,6,"7",1,2,2
704,6,"7",1,3,1
639,6,"8",1,1,3
639,6,"8",1,2,2
639,6,"8",1,3,1
622,6,"9",1,1,3
622,6,"9",1,2,2
622,6,"9",1,3,1
615,6,"10",1,1,3
615,6,"10",1,2,2
615,6,"10",1,3,1
540,6,"11",1,1,3
540,6,"11",1,2,2
540,6,"11",1,3,1
533,6,"12",1,1,3
533,6,"12",1,2,2
533,6,"12",1,3,1
516,6,"13",1,1,3
516,6,"13",1,2,2
516,6,"13",1,3,1
509,6,"14",1,1,3
509,6,"14",1,2,2
509,6,"14",1,3,1
835,7,"1",1,1,3
835,7,"1",1,2,2
835,7,"1",1,3,1
826,7,"2",1,1,3
826,7,"2",1,2,2
826,7,"2",1,3,1
811,7,"3",1,1,3
811,7,"3",1,2,2
811,7,"3",1,3,1
802,7,"4",1,1,3
802,7,"4",1,2,2
802,7,"4",1,3,1
729,7,"5",1,1,3
729,7,"5",1,2,2
729,7,"5",1,3,1
720,7,"6",1,1,3
720,7,"6",1,2,2
720,7,"6",1,3,1
705,7,"7",1,1,3
705,7,"7",1,2,2
705,7,"7",1,3,1
638,7,"8",1,1,3
638,7,"8",1,2,2
638,7,"8",1,3,1
623,7,"9",1,1,3
623,7,"9",1,2,2
623,7,"9",1,3,1
614,7,"10",1,1,3
614,7,"10",1,2,2
614,7,"10",1,3,1
541,7,"11",1,1,3
541,7,"11",1,2,2
541,7,"11",1,3,1
532,7,"12",1,1,3
532,7,"12",1,2,2
532,7,"12",1,3,1
517,7,"13",1,1,3
517,7,"13",1,2,2
517,7,"13",1,3,1
508,7,"14",1,1,3
508,7,"14",1,2,2
508,7,"14",1,3,1
836,8,"1",1,1,3
836,8,"1",1,2,2
836,8,"1",1,3,1
825,8,"2",1,1,3
825,8,"2",1,2,2
825,8,"2",1,3,1
812,8,"3",1,1,3
812,8,"3",1,2,2
812,8,"3",1,3,1
801,8,"4",1,1,3
801,8,"4",1,2,2
801,8,"4",1,3,1
730,8,"5",1,1,3
730,8,"5",1,2,2
730,8,"5",1,3,1
719,8,"6",1,1,3
719,8,"6",1,2,2
719,8,"6",1,3,1
706,8,"7",1,1,3
706,8,"7",1,2,2
706,8,"7",1,3,1
637,8,"8",1,1,3
637,8,"8",1,2,2
637,8,"8",1,3,1
624,8,"9",1,1,3
624,8,"9",1,2,2
624,8,"9",1,3,1
613,8,"10",1,1,3
613,8,"10",1,2,2
613,8,"10",1,3,1
542,8,"11",1,1,3
542,8,"11",1,2,2
542,8,"11",1,3,1
531,8,"12",1,1,3
531,8,"12",1,2,2
531,8,"12",1,3,1
518,8,"13",1,1,3
518,8,"13",1,2,2
518,8,"13",1,3,1
507,8,"14",1,1,3
507,8,"14",1,2,2
507,8,"14",1,3,1
837,9,"1",1,1,3
837,9,"1",1,2,2
837,9,"1",1,3,1
824,9,"2",1,1,3
824,9,"2",1,2,2
824,9,"2",1,3,1
813,9,"3",1,1,3
813,9,"3",1,2,2
813,9,"3",1,3,1
742,9,"4",1,1,3
742,9,"4",1,2,2
742,9,"4",1,3,1
731,9,"5",1,1,3
731,9,"5",1,2,2
731,9,"5",1,3,1
718,9,"6",1,1,3
718,9,"6",1,2,2
718,9,"6",1,3,1
707,9,"7",1,1,3
707,9,"7",1,2,2
707,9,"7",1,3,1
636,9,"8",1,1,3
636,9,"8",1,2,2
636,9,"8",1,3,1
625,9,"9",1,1,3
625,9,"9",1,2,2
625,9,"9",1,3,1
612,9,"10",1,1,3
612,9,"10",1,2,2
612,9,"10",1,3,1
601,9,"11",1,1,3
601,9,"11",1,2,2
601,9,"11",1,3,1
530,9,"12",1,1,3
530,9,"12",1,2,2
530,9,"12",1,3,1
519,9,"13",1,1,3
519,9,"13",1,2,2
519,9,"13",1,3,1
506,9,"14",1,1,3
506,9,"14",1,2,2
506,9,"14",1,3,1
838,10,"1",1,1,3
838,10,"1",1,2,2
838,10,"1",1,3,1
823,10,"2",1,1,3
823,10,"2",1,2,2
823,10,"2",1,3,1
814,10,"3",1,1,3
814,10,"3",1,2,2
814,10,"3",1,3,1
741,10,"4",1,1,3
741,10,"4",1,2,2
741,10,"4",1,3,1
732,10,"5",1,1,3
732,10,"5",1,2,2
732,10,"5",1,3,1
717,10,"6",1,1,3
717,10,"6",1,2,2
717,10,"6",1,3,1
708,10,"7",1,1,3
708,10,"7",1,2,2
708,10,"7",1,3,1
635,10,"8",1,1,3
635,10,"8",1,2,2
635,10,"8",1,3,1
626,10,"9",1,1,3
626,10,"9",1,2,2
626,10,"9",1,3,1
611,10,"10",1,1,3
611,10,"10",1,2,2
611,10,"10",1,3,1
602,10,"11",1,1,3
602,10,"11",1,2,2
602,10,"11",1,3,1
529,10,"12",1,1,3
529,10,"12",1,2,2
529,10,"12",1,3,1
520,10,"13",1,1,3
520,10,"13",1,2,2
520,10,"13",1,3,1
505,10,"14",1,1,3
