accession,seedlot,observationUnitName.x,plotNumber.x,trial,seed_available,GH_seed.x,seed_to_send_g,seed_left
CAV3088,Cornell_WinterOatFounders_2024_Headrow-CAV3088-1,Cornell_WinterOatFounders_2024_Headrow_76,76,Cornell_WinterOatFounders_2024_Headrow,186.69,9.92,8,178.69
NF99414,NF99414-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,378,Cornell_WinterOatPeaIntercrop_2024_Ithaca,533,NA,8,525
NF13-4214-4_5,NF13-4214-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_28,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_28,28,Cornell_WinterOatPeaIntercrop_2024_Ithaca,534,NA,8,526
NF13-4126-4_3,NF13-4126-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_338,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_338,338,Cornell_WinterOatPeaIntercrop_2024_Ithaca,589.5,NA,8,581.5
NF13-4173-4_5,NF13-4173-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_341,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_341,341,Cornell_WinterOatPeaIntercrop_2024_Ithaca,622,NA,8,614
NF05424_2,NF05424_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_26,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_26,26,Cornell_WinterOatPeaIntercrop_2024_Ithaca,624,NA,8,616
NF13-4083-4_6,NF13-4083-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_346,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_346,346,Cornell_WinterOatPeaIntercrop_2024_Ithaca,631,NA,8,623
NF12AS-122-4_4,NF12AS-122-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_153,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_153,153,Cornell_WinterOatPeaIntercrop_2024_Ithaca,634,NA,8,626
NF13-4124-4_3,NF13-4124-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_349,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_349,349,Cornell_WinterOatPeaIntercrop_2024_Ithaca,656,NA,8,648
NF12AS-108-4_4,NF12AS-108-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_251,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_251,251,Cornell_WinterOatPeaIntercrop_2024_Ithaca,669,NA,8,661
NF12AS-91-4_1,NF12AS-91-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_253,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_253,253,Cornell_WinterOatPeaIntercrop_2024_Ithaca,673,NA,8,665
NF13-4214-4_1,NF13-4214-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_155,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_155,155,Cornell_WinterOatPeaIntercrop_2024_Ithaca,675,NA,8,667
NF12AS-73-4_3,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_241,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_241,241,Cornell_WinterOatPeaIntercrop_2024_Ithaca,687,NA,8,679
NF01401B,NF01401B-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_1,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_1,1,Cornell_WinterOatPeaIntercrop_2024_Ithaca,704,NA,8,696
NF12AS-108-4_1,NF12AS-108-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,161,Cornell_WinterOatPeaIntercrop_2024_Ithaca,712,NA,8,704
NF97405B2,NF97405B2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_264,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_264,264,Cornell_WinterOatPeaIntercrop_2024_Ithaca,729,NA,8,721
NF13-4173-4_4,NF13-4173-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_370,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_370,370,Cornell_WinterOatPeaIntercrop_2024_Ithaca,749,NA,8,741
PA7617-3460,PA7617-3460-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,212,Cornell_WinterOatPeaIntercrop_2024_Ithaca,757,1.07,8,749
NF502_5,NF502_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_3,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_3,3,Cornell_WinterOatPeaIntercrop_2024_Ithaca,762,NA,8,754
NF01404A,NF01404A-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_159,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_159,159,Cornell_WinterOatPeaIntercrop_2024_Ithaca,767,NA,8,759
NF00407,NF00407-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_216,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_216,216,Cornell_WinterOatPeaIntercrop_2024_Ithaca,769,NA,8,761
PA7617-3658,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_201,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_201,201,Cornell_WinterOatPeaIntercrop_2024_Ithaca,786,5.4,8,778
NF12AS-100-4_2,NF12AS-100-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_227,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_227,227,Cornell_WinterOatPeaIntercrop_2024_Ithaca,787,NA,8,779
NF13-4157-4_2,NF13-4157-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_334,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_334,334,Cornell_WinterOatPeaIntercrop_2024_Ithaca,791,NA,8,783
NF12AS-107-4_4,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_186,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_186,186,Cornell_WinterOatPeaIntercrop_2024_Ithaca,802,NA,8,794
NF18,NF18-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_276,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_276,276,Cornell_WinterOatPeaIntercrop_2024_Ithaca,821,NA,8,813
AURORA,AURORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,24,Cornell_WinterOatPeaIntercrop_2024_Ithaca,877,NA,8,869
