block,plot,accession,Entry,Name,Pedigree,NY Seed,random
1,45,FL1013-2,25,FL1013-2,SD60130(IL95-1241/W00276)/UFRGS 087212-1,seed available,0.104148489
1,46,NC09-4274N,132,NC09-4274N,LA 9339/SS76-40 // FLLA95131,seed available,0.108228139
1,47,LA09066SBS-U3,118,LA09066SBS-U3,MN06120/TX02U7682,seed available,0.109842772
1,48,FLLA17030-25,396,FLLA17030-25,"HZN 306  / LA16090,F1 (LA08085SBSBS-30 / MN2013BT1021-1-2)",seed available,0.111463501
1,49,TX05CS 347-2,200,TX05CS 347-2,TAMO 405/Plot Spike LA9339,seed available,0.112025843
1,50,LA09026SBS-U3,113,LA09026SBS-U3,HZN LA976/MN06120,seed available,0.112609426
1,51,LA08039SBSBS-5-S1,94,LA08039SBSBS-5-S1,LA02065SBSBSB-S2/LA99017,seed available,0.114339078
1,52,FLLA17020-55,441,FLLA17020-55,"FL0720-R6/LA16098,F1(LA09103SBS-U5/LA99017)",seed available,0.115233577
1,53,LA17089SBSS-73-1,326,LA17089SBSS-73-1,LA10041SSBS-80 / LA99017,seed available,0.115837628
1,54,TAMO 406,190,TAMO 406,Mitchell/TX83Ab2923/TAMO386R,seed available,0.116847314
1,55,NC14-1874,176,NC14-1874,SS76-50 / Rodgers,seed available,0.117233668
1,56,FLLA17069-53,334,FLLA17069-53,LA09015SBS-U4 / LA99016,seed available,0.119456683
1,57,LA17153SBSS-55-1,332,LA17153SBSS-55-1,NC12-3447 / LA09015SBS-U4,seed available,0.119923135
1,58,FLLA17031-57,397,FLLA17031-57,"HZN 306  / LA16188,F1 (UFRGS 087045-3 / MN11140)",seed available,0.123340306
1,59,LA08086BS-T2,106,LA08086BS-T2,UFRGS 046050-4/FL0016-H4,seed available,0.123556485
1,60,FL13110-68,249,FL13110-68,LA06071-SBSB-S10 (UFRGS046048-1/TX02U7605)/BW 08-19)/LA08043SBSBS-4 (LA03046SBS7-B-S1/LA97006GSB-59-2-4),no seed for NY 2025,0.124034715
1,61,NC14-1584,158,NC14-1584,NC01-3497 / BYDV 121,seed available,0.124078526
1,62,FLLA17029-66,374,FLLA17029-66,"HZN 306  / LA16044,F1 (HZN 306  / FL0720-R6)",seed available,0.13128689
1,63,LA17017SBSS-16-1,424,LA17017SBSS-16-1,FL0720-R6 / LA10001SSBS-20,seed available,0.133318859
1,64,LA17031SBSS-77-1,426,LA17031SBSS-77-1,"HZN 306  / LA16049,F1 (HZN 306  / UFRGS 087045-3)",seed available,0.136241799
1,65,LA06059SBSBSB-97-S,64,LA06059SBSBSB-97-S,TAMO 405/LA99016,seed available,0.136970595
1,66,FL03001BSB-S7,12,FL03001BSB-S7,LA9339E45/Bw3996,seed available,0.140421786
1,67,TX02U 7047,194,TX02U 7047,TAMO386ERB/TAMO386R/92SAT24-4,seed available,0.140915804
1,68,TX02U 7479,197,TX02U 7479,"92M1009(T386""S""/94Ab347",seed available,0.141452071
1,69,FLLA17149-30,344,FLLA17149-30,NC12-3447 / LA09015SBS-U1,seed available,0.14460819
1,70,TX20CAS1047,410,TX20CAS1047,TX14OCS5159/LA07070SBSBSBS-65-S1,seed available,0.145999194
1,71,LA17089SBS-45-1-1,325,LA17089SBS-45-1-1,LA10041SSBS-80 / LA99017,seed available,0.146088282
1,72,TX19CAS0066,359,TX19CAS0066,TX14OCS5003/LA09074SBS-U4,seed available,0.146647811
1,73,FL13123-50,253,FL13123-50,FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13,no seed for NY 2025,0.149106515
1,74,LA07065SBS-FS2-Ab1,87,LA07065SBS-FS2-Ab1,TAMO 405/UFRGS 028152-1,seed available,0.14996199
1,75,TROPHY,193,TROPHY,LA90120C2-3-AB1/TX96M1558,seed available,0.152159813
1,76,LA07048SBSB-5,82,LA07048SBSB-5,LA98002SBS-64  /  LA99017,seed available,0.15282742
1,77,FL03254-L1,14,FL03254-L1,LA982IBI-64(833/TAMO 397)/UFRGS 028155,seed available,0.153857798
1,78,LA07048SBSB-19,79,LA07048SBSB-19,LA98002SBS-64  /  LA99017,seed available,0.154362236
1,79,LA04004SBSB-121,51,LA04004SBSB-121,UFRGS995080-1/9818IBI-24-B-I1,seed available,0.154840423
1,80,LA06059SBS-84-S1,62,LA06059SBS-84-S1,TAMO 405/HZN LA976,seed available,0.158454828
1,81,TX14OCS5061,223,TX14OCS5061,TX08CS2235//TX00D110,seed available,0.166315323
1,82,LAFL13108FSB-22-1-1,437,LAFL13108FSB-22-1-1,LA07065SBSBSB-20 (TAMO 405/UFRGS 028152-1)/BW 533,seed available,0.167864796
1,83,LA16179SSBSS-22-1,421,LA16179SSBSS-22-1,"TX14OCS5212 / LA15044,F1,(HZN 306 (LA05006) / LA08048SBSBS-15)",seed available,0.168139846
1,84,NC14-1619,161,NC14-1619,BYDV-135 / Gerard 224,seed available,0.170355383
1,85,FLLA17088-66,386,FLLA17088-66,LA10044SSBS-1 / LA10001SSBS-20,seed available,0.171035424
1,86,LA99017 (BUCK),131,LA99017 (BUCK),TX96M1385/LA604,seed available,0.171248629
1,87,NC14-1554,155,NC14-1554,NC3981-4 / WT1,seed available,0.172649473
1,88,NC14-1695,165,NC14-1695,Gerard 229 / NC05-5456,seed available,0.17267403
